,no,song,movie,year,singers,lyricist,composer
1844,1845,Mizhikal ...,The Gift of God,2001,KS Chithra,S Ramesan Nair,Berny Ignatius
1845,1846,Rakthasaakshikale ...,Chethaaram,2001,"KJ Yesudas, KS Chithra",Gireesh Puthenchery,Mohan Sithara
1846,1847,Poopole Poothiripole ...,Njaan Raajaavu,2002,"KS Chithra, P Jayachandran",Chavara KS Pillai,Rajamani
1847,1848,Paadaan Kothichu ...,Njaan Raajaavu,2002,KS Chithra,Chavara KS Pillai,Rajamani
1848,1849,Alliyaambal ...,Police Academy,2001,KS Chithra,Gireesh Puthenchery,Johnson
1849,1850,Kaalindiyil ...,Police Academy,2001,"KJ Yesudas, KS Chithra",Gireesh Puthenchery,Johnson
1850,1851,Vayassaakum Kunnin Keezhil ...,Koodariyaathe,2001,KS Chithra,,Wilson
1851,1852,Raareeram ...,Ponnu,2001,KS Chithra,Sidharthan,Subhash
1852,1853,Vaaniludikkum [F] ...,Malayaali Maamanu Vanakkam,2002,KS Chithra,S Ramesan Nair,Suresh Peters
1853,1854,Kanmaniye ...,Malayaali Maamanu Vanakkam,2002,"KS Chithra, Sreenivas",S Ramesan Nair,Suresh Peters
1854,1855,Kurum kuzhal osai ...,Phantom,2002,KS Chithra,Gireesh Puthenchery,Deva
1855,1856,Viral thottal ...,Phantom,2002,"KS Chithra, P Jayachandran",Gireesh Puthenchery,Deva
1856,1857,Maattupongal ...,Phantom,2002,"KS Chithra, SP Balasubrahmanyam",Gireesh Puthenchery,Deva
1857,1858,Viral thottaal [F] ...,Phantom,2002,KS Chithra,Gireesh Puthenchery,Deva
1858,1859,Aazhithirakal ...,Kanalkkireedam,2002,KS Chithra,S Ramesan Nair,Berny Ignatius
1859,1860,Nilaave Neeyen Manassinte Theeram ...,Kanalkkireedam,2002,"KS Chithra, MG Sreekumar",S Ramesan Nair,Berny Ignatius
1860,1861,Parayaatha Mozhikal [D] ...,Ente Hridayathinte Udama,2002,"KS Chithra, Biju Narayanan",ONV Kurup,Raveendran
1861,1862,Priyasakhi ...,Kayyethum Doorathu,2002,"KJ Yesudas, KS Chithra",S Ramesan Nair,Ouseppachan
1862,1863,Gokulathil ...,Kayyethum Doorathu,2002,"KS Chithra, Vidhu Prathap",S Ramesan Nair,Ouseppachan
1863,1864,Oduvilee Sandhyayum Njaanum [F] ...,Kadha,2002,KS Chithra,Gireesh Puthenchery,Ouseppachan
1864,1865,Oduvilee sandhyayum njaanum [D] ...,Kadha,2002,"KS Chithra, G Venugopal, Chorus",Gireesh Puthenchery,Ouseppachan
1865,1866,Thanneerppanthalile ...,Punyam,2002,KS Chithra,S Ramesan Nair,M Jayachandran
1866,1867,Pularolithan Malarilo (D) ...,Punyam,2002,"KJ Yesudas, KS Chithra",S Ramesan Nair,M Jayachandran
1867,1868,Kumkuma Raaga Paraaga (F) ...,Punyam,2002,KS Chithra,S Ramesan Nair,M Jayachandran
1868,1869,Vattayilappanthalittu ...,Yaathrakkaarude Shradhaykku,2002,"KS Chithra, P Jayachandran",Kaithapram,Johnson
1869,1870,Maayam chollum ...,Pakalppooram,2002,KS Chithra,S Ramesan Nair,Raveendran
1870,1871,Mohaswaroopini ...,Pakalppooram,2002,KS Chithra,S Ramesan Nair,Raveendran
1871,1872,Hey shingari ...,Pakalppooram,2002,"KS Chithra, P Jayachandran",S Ramesan Nair,Raveendran
1872,1873,Vattalla Vattiyilla ...,Onnaaman,2002,"KS Chithra, P Jayachandran",Gireesh Puthenchery,SP Venkitesh
1873,1874,Kaarmukil ...,Nandanam,2002,KS Chithra,Gireesh Puthenchery,Raveendran
1874,1875,Mouliyil ...,Nandanam,2002,KS Chithra,Gireesh Puthenchery,Raveendran
1875,1876,Ennu Varum Nee ...,Kannaki,2002,KS Chithra,Kaithapram,Kaithapram Viswanath
1876,1877,Karineelakkannazhaki Kannaki (F) ...,Kannaki,2002,KS Chithra,Kaithapram,Kaithapram Viswanath
1877,1878,Penne Penne ...,Meesa Madhavan,2002,"KS Chithra, MG Sreekumar, Kalyani Menon",Gireesh Puthenchery,Vidyasagar
1878,1879,Mannum Kallum Vaarithinnum (F) ...,Krishnaa Gopaalkrishnaa,2002,KS Chithra,Bichu Thirumala,Balachandra Menon
1879,1880,Konchi Konchi ...,Saavithriyude Aranjaanam,2002,"KS Chithra, MG Sreekumar",Bichu Thirumala,M Jayachandran
1880,1881,Pachappanamkili ...,Avarkkaayi Aruldas,2002,KS Chithra,Bichu Thirumala,Tesli
1881,1882,Pachappanamkili Thathe ...,Avarkkaayi Aruldas,2002,"KS Chithra, MG Sreekumar",Bichu Thirumala,Tesli
1882,1883,Om Jaya Showre ...,Bamboo Boys,2002,KS Chithra,"Gireesh Puthenchery, Ali Akbar",Thej Manoj
1883,1884,Aattum Manammele ...,Puthooram Puthri Unniyaarcha,2002,KS Chithra,Yusufali Kecheri,Usha Khanna
1884,1885,Paaduvanoru Veenayum ...,Puthooram Puthri Unniyaarcha,2002,KS Chithra,Yusufali Kecheri,Usha Khanna
1885,1886,Paaduvaanoru Veenayum ...,Puthooram Puthri Unniyaarcha,2002,"KS Chithra, Biju Narayanan",Yusufali Kecheri,Usha Khanna
1886,1887,Sundariye Sundariye (Replayed from Oru Maravathoor Kanavu) ...,Kaakke Kaakke Koodevide,2002,"KJ Yesudas, KS Chithra, Pushpavanam Kuppuswamy",Gireesh Puthenchery,Vidyasagar
1887,1888,Priyane ...,Adheena,2002,KS Chithra,Joffy Tharakan,Natesh Shankar
1888,1889,Thudikkum Thaamarapoove ...,Desham,2002,"KS Chithra, MG Sreekumar, Chorus",Gireesh Puthenchery,Rajamani
